date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:18	50226/50226	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:03%20GMT	https://colorlib.com//polygon/adminty/default/menu-header-fixed.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/menu-header-fixed.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:18	50762/50762	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:02%20GMT	https://colorlib.com//polygon/adminty/default/menu-compact.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/menu-compact.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:18	49922/49922	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:05%20GMT	https://colorlib.com//polygon/adminty/default/menu-sidebar.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/menu-sidebar.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:19	93908/93908	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:05%20GMT	https://colorlib.com//polygon/adminty/default/menu-horizontal-static.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/menu-horizontal-static.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:19	84155/84155	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:03%20GMT	https://colorlib.com//polygon/adminty/default/menu-horizontal-fixed.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/menu-horizontal-fixed.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:20	84110/84110	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:04%20GMT	https://colorlib.com//polygon/adminty/default/menu-horizontal-icon.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/menu-horizontal-icon.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:21	86712/86712	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:04%20GMT	https://colorlib.com//polygon/adminty/default/menu-horizontal-icon-fixed.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/menu-horizontal-icon-fixed.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:21	49140/49140	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:02%20GMT	https://colorlib.com//polygon/adminty/default/menu-bottom.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/menu-bottom.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:21	48072/48072	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:33:56%20GMT	https://colorlib.com//polygon/adminty/default/box-layout.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/box-layout.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:22	50432/50432	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:05%20GMT	https://colorlib.com//polygon/adminty/default/menu-rtl.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/menu-rtl.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:22	49834/49834	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:07%20GMT	https://colorlib.com//polygon/adminty/default/navbar-light.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/navbar-light.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:23	68115/68115	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:28%20GMT	https://colorlib.com//polygon/adminty/default/widget-statistic.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/widget-statistic.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:23	67075/67075	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:28%20GMT	https://colorlib.com//polygon/adminty/default/widget-data.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/widget-data.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:23	56400/56400	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:27%20GMT	https://colorlib.com//polygon/adminty/default/widget-chart.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/widget-chart.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:24	56135/56135	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:33:49%20GMT	https://colorlib.com//polygon/adminty/default/alert.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/alert.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:24	52873/52873	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:33:56%20GMT	https://colorlib.com//polygon/adminty/default/breadcrumb.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/breadcrumb.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:24	103080/103080	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:33:59%20GMT	https://colorlib.com//polygon/adminty/default/button.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/button.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:25	55593/55593	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:33:56%20GMT	https://colorlib.com//polygon/adminty/default/box-shadow.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/box-shadow.html	(from https://colorlib.com//polygon/adminty/default/index.html)
15:35:25	56378/56378	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:33:49%20GMT	https://colorlib.com//polygon/adminty/default/accordion.html	C:/My%20Web%20Sites/self%20learning/colorlib.com/polygon/adminty/default/accordion.html	(from https://colorlib.com//polygon/adminty/default/index.html)
